,concreteness,iconicity,childBOI,adultBOI,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,socialness,valence,arousal,dominance,imageability
gpt-4o-2024-05-13,0.8738564074261452,0.8592183354224991,0.771606226351915,0.8363070189457218,0.9456831998702382,0.337983011457601,0.9268684664385606,0.9104323728466516,0.7312234522204514,0.9189733125819728,0.8520447748499402,0.912421118341614,0.9197603774488952,0.9161891358737981,0.9046397870718725,0.9141847105560582,0.9216588430368906,0.9357551476240205,0.7651640417496899,0.906185128100748
gpt-4o-mini-2024-07-18,0.8651805685968872,0.937408401103357,0.795067383727357,0.7295001788535362,0.8900970056814667,0.40990350345455184,0.8883413652648017,0.8407880179279841,0.8186534256683248,0.9212684717284033,0.4806445304230827,0.7958717859756568,0.8516314536629956,0.22548078491281165,0.8334363346045212,0.8621860953175153,0.8017609652381019,0.7458333727195037,0.7926796099365934,0.9392163994694801
meta-llama_Meta-Llama-3.1-70B-Instruct,0.8770828282101384,0.864043949013553,0.7462983205281133,0.9140631937639054,0.894130292434145,0.39171766121418217,0.8272834337848228,0.6917328998088058,0.592733168440864,0.8625165981330254,0.4541963351974016,0.8732879623712209,0.5992228918425797,0.46831868429972867,0.730839187095311,0.9113147062238661,0.744812619238583,0.8751259004296512,0.8696111094994492,0.9424844025748671
meta-llama_Meta-Llama-3.1-405B-Instruct,0.8739212181572986,0.8757557284278072,0.8812696015410202,0.910700302749883,0.927921716115637,0.41866181535551283,0.9268654862636319,0.7188810671624399,0.7334756973213515,0.8547356841183896,0.6389830411629108,0.943349432611019,0.8755941241061131,0.7831465014450288,0.8600939976878303,0.9447185820687337,0.7293797750477673,0.8834702407336372,0.8747199367144023,0.9550160627232276
