,concreteness,iconicity,childBOI,adultBOI,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,socialness,valence,arousal,dominance,imageability,babiness
gpt-4o-2024-05-13,0.28604512735090554,0.4160556559619559,0.9845243144764798,1.023217121441881,0.9548932845474428,0.09216584142172828,0.5799885436530676,1.0363312655901813,0.3450907214899087,0.9485246985899604,0.5651914037125167,1.023095848197087,1.0854713823212765,0.8521658587729799,0.846651282307764,0.5837607849433586,0.8677096497845321,0.7931045845104079,0.7491010389586232,0.5599204309933432,0.83963844466295
gpt-4o-mini-2024-07-18,0.3211383676104251,0.5955768941672003,0.9434137129210769,0.6407779542202111,0.6827457901664804,0.17751071786292752,0.8913533488501499,0.5907659132423299,0.4625912982825293,0.9507704430242074,0.20853583742915596,0.599558684385579,0.6605932612631467,0.14014077147935672,0.5504470759064155,0.6157885637861955,0.7265481265563059,0.5116360593441266,0.3970757574775369,0.5421209743296941,0.8370063043928757
meta-llama_Meta-Llama-3.1-70B-Instruct,0.4274168397183872,0.7162223615141217,0.9907200071580776,1.2676947590308891,1.2803072952371695,0.13086997819588875,0.9018994025568383,0.35848440617708716,0.2104952244080563,1.0648689079151796,0.194135289127901,0.7751784359169697,0.3976028567962705,0.39007939652006096,0.4045981699077022,0.8915360814784363,0.45966471586621205,0.6867747660805782,0.643408580611164,0.8534055819201084,1.115446937936673
meta-llama_Meta-Llama-3.1-405B-Instruct,0.440163456590031,0.6132779606558815,1.0146335881630542,0.915151871731745,0.9181562301012154,0.12171893806667831,0.9668634011377991,0.3750569981987262,0.3257662286349753,0.91843502023759,0.327869323140102,1.0807508919383462,0.8086828062900642,0.7655221295676803,0.6141039948309117,1.058408025051307,0.39113705587576125,0.3932089226015935,0.519739928440812,0.644738987274756,1.122895760512433
human,0.8364506172839505,1.9208559533294054,1.8044695689211359,1.5993140474478829,1.4158853611269349,0.7633656090139318,1.5676781525448917,1.291434372,1.0083304691068111,1.4804722199736842,1.2775312105046441,1.6795576213513934,2.319425810749226,1.4505993110170277,1.3824992606656348,1.7414436948625411,1.6859805825242717,2.320252427184466,2.17283495145631,1.6538258575197888,NA
