"wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"iconicity",50,"Correlation coefficient","Llama-3.1-70B",5,0.345508438043002,0.0343779523711793,0.0153742876858414
"iconicity",50,"KL divergence (log)","Gpt-4o",5,2.26937639243547,0.797469264384606,0.356639097026146
"iconicity",50,"KL divergence (log)","Llama-3.1-70B",5,2.25481916073625,0.871232601587929,0.38962706427292
"babiness",10,"Correlation coefficient","Gpt-4o",5,0.652154169578768,0.0293742736315921,0.0131365745259839
"babiness",10,"Correlation coefficient","Llama-3.1-70B",5,0.634337178742172,0.0395086928891606,0.0176688246004651
"babiness",10,"KL divergence (log)","Gpt-4o",5,3.03398378217832,0.0046782177114873,0.00209216256328582
"babiness",10,"KL divergence (log)","Llama-3.1-70B",5,3.03724988802737,0.00453561321155576,0.00202838789213696
"babiness",20,"Correlation coefficient","Gpt-4o",5,0.662063834601741,0.0471495657363338,0.0210859268192074
"babiness",20,"Correlation coefficient","Llama-3.1-70B",5,0.669546982126129,0.0308380498943856,0.0137911951714753
"babiness",20,"KL divergence (log)","Gpt-4o",5,2.69686721496833,0.522963456693272,0.233876367782885
"babiness",20,"KL divergence (log)","Llama-3.1-70B",5,3.02987990847582,0.0207471661544916,0.00927841477238521
"babiness",30,"Correlation coefficient","Gpt-4o",5,0.698736407911034,0.00824610759186862,0.00368777142503907
"babiness",30,"Correlation coefficient","Llama-3.1-70B",5,0.678300668582049,0.0193713733082828,0.00866314150696908
"babiness",30,"KL divergence (log)","Gpt-4o",5,2.92152408955884,0.164169284028894,0.0734187357812157
"babiness",30,"KL divergence (log)","Llama-3.1-70B",5,2.96835242842455,0.102581122347586,0.045875672555485
"babiness",40,"Correlation coefficient","Gpt-4o",5,0.699415330623643,0.0288683006176788,0.0129102965152058
"babiness",40,"Correlation coefficient","Llama-3.1-70B",5,0.651765016316953,0.0695661420980113,0.0311109245327126
"babiness",40,"KL divergence (log)","Gpt-4o",5,2.77719759893676,0.235140536660352,0.105158044847666
"babiness",40,"KL divergence (log)","Llama-3.1-70B",5,3.01959351257792,0.0105304776483556,0.00470937277145303
"babiness",50,"Correlation coefficient","Gpt-4o",5,0.705580552722341,0.0382227658099935,0.01709374052784
"babiness",50,"Correlation coefficient","Llama-3.1-70B",5,0.685822740788585,0.027723148227721,0.0123981687974974
"babiness",50,"KL divergence (log)","Gpt-4o",5,2.70137833055638,0.492418327033339,0.220216170522654
"babiness",50,"KL divergence (log)","Llama-3.1-70B",5,2.69452190579119,0.272941172310816,0.122063003029093
"valence",10,"Correlation coefficient","Gpt-4o",5,0.764837439420488,0.0202308638648198,0.00904751736905625
"valence",10,"Correlation coefficient","Llama-3.1-70B",5,0.711201492282331,0.0175168026800388,0.00783375230820343
"valence",10,"KL divergence (log)","Gpt-4o",5,2.35170263505602,0.701008026155527,0.313500319851342
"valence",10,"KL divergence (log)","Llama-3.1-70B",5,3.08369438675391,0.00651283715744379,0.00291262932208616
"valence",20,"Correlation coefficient","Gpt-4o",5,0.748105606558975,0.0433244926043005,0.0193753021107805
"valence",20,"Correlation coefficient","Llama-3.1-70B",5,0.716509836255499,0.0564248807907099,0.0252339738140699
"valence",20,"KL divergence (log)","Gpt-4o",5,1.73781635663639,0.609700754346113,0.272666466530162
