"wordFeatures","Index","Model","N","Mean","SD","SE"
"Mouth","Correlation coefficient","Gpt-4o",1,0.711244505091803,NA,NA
"Mouth","Correlation coefficient","Llama-3.1-70B",1,0.612674896437765,NA,NA
"Mouth","KL divergence (log)","Gpt-4o",1,2.03181853495958,NA,NA
"Mouth","KL divergence (log)","Llama-3.1-70B",1,1.63374941898279,NA,NA
"Torso","Correlation coefficient","Gpt-4o",1,0.47167622307524,NA,NA
"Torso","Correlation coefficient","Llama-3.1-70B",1,0.307975252168399,NA,NA
"Torso","KL divergence (log)","Gpt-4o",1,2.87927674943676,NA,NA
"Torso","KL divergence (log)","Llama-3.1-70B",1,1.92947792926126,NA,NA
"concreteness","Correlation coefficient (AoA)","Gpt-4o",1,-0.272071660480526,NA,NA
"concreteness","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.226804762656433,NA,NA
"concreteness","Difference (correlation to AoA)","Gpt-4o",1,0.0171439808942863,NA,NA
"concreteness","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0624108787183788,NA,NA
"adultBOI","Correlation coefficient (AoA)","Gpt-4o",1,-0.245099603367546,NA,NA
"adultBOI","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.201474514458574,NA,NA
"adultBOI","Difference (correlation to AoA)","Gpt-4o",1,0.0334436088809083,NA,NA
"adultBOI","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0770686977898809,NA,NA
"childBOI","Correlation coefficient (AoA)","Gpt-4o",1,-0.330196725343904,NA,NA
"childBOI","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.256612145739599,NA,NA
"childBOI","Difference (correlation to AoA)","Gpt-4o",1,0.0981746372034193,NA,NA
"childBOI","Difference (correlation to AoA)","Llama-3.1-70B",1,0.171759216807724,NA,NA
"iconicity","Correlation coefficient (AoA)","Gpt-4o",1,-0.156830828705434,NA,NA
"iconicity","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0682750570113021,NA,NA
"iconicity","Difference (correlation to AoA)","Gpt-4o",1,0.149738066643386,NA,NA
"iconicity","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0611822949492539,NA,NA
"babiness","Correlation coefficient (AoA)","Gpt-4o",1,-0.484073713013931,NA,NA
"babiness","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.325745544201437,NA,NA
"babiness","Difference (correlation to AoA)","Gpt-4o",1,0.21355526740309,NA,NA
"babiness","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0552270985905964,NA,NA
"valence","Correlation coefficient (AoA)","Gpt-4o",1,0.223639423820122,NA,NA
"valence","Correlation coefficient (AoA)","Llama-3.1-70B",1,0.190154382387773,NA,NA
"valence","Difference (correlation to AoA)","Gpt-4o",1,0.0542624704195597,NA,NA
"valence","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0207774289872103,NA,NA
"arousal","Correlation coefficient (AoA)","Gpt-4o",1,-0.262810520844246,NA,NA
"arousal","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0318112561379949,NA,NA
"arousal","Difference (correlation to AoA)","Gpt-4o",1,0.228315937560077,NA,NA
"arousal","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0026833271461735,NA,NA
"dominance","Correlation coefficient (AoA)","Gpt-4o",1,0.0251964268717161,NA,NA
"dominance","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0478972321479303,NA,NA
"dominance","Difference (correlation to AoA)","Gpt-4o",1,0.0529722157108321,NA,NA
"dominance","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0201214433088144,NA,NA
"Auditory","Correlation coefficient (AoA)","Gpt-4o",1,0.0200522112666561,NA,NA
"Auditory","Correlation coefficient (AoA)","Llama-3.1-70B",1,0.116994291221521,NA,NA
"Auditory","Difference (correlation to AoA)","Gpt-4o",1,0.0521058253531908,NA,NA
"Auditory","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0448362546016739,NA,NA
"Gustatory","Correlation coefficient (AoA)","Gpt-4o",1,-0.0414549429865165,NA,NA
"Gustatory","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0525965024130253,NA,NA
"Gustatory","Difference (correlation to AoA)","Gpt-4o",1,0.00498324557717694,NA,NA
"Gustatory","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0061583138493319,NA,NA
"Haptic","Correlation coefficient (AoA)","Gpt-4o",1,-0.233501059149675,NA,NA
"Haptic","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.244841513048621,NA,NA
"Haptic","Difference (correlation to AoA)","Gpt-4o",1,0.0150040290096264,NA,NA
"Haptic","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0263444829085716,NA,NA
"Interoceptive","Correlation coefficient (AoA)","Gpt-4o",1,-0.142454551056952,NA,NA
"Interoceptive","Correlation coefficient (AoA)","Llama-3.1-70B",1,0.00392818114432076,NA,NA
"Interoceptive","Difference (correlation to AoA)","Gpt-4o",1,0.167328130491248,NA,NA
"Interoceptive","Difference (correlation to AoA)","Llama-3.1-70B",1,0.0209453982899757,NA,NA
"Olfactory","Correlation coefficient (AoA)","Gpt-4o",1,-0.150845370385932,NA,NA
"Olfactory","Correlation coefficient (AoA)","Llama-3.1-70B",1,-0.0773987473318831,NA,NA
"Olfactory","Difference (correlation to AoA)","Gpt-4o",1,0.0266590698773771,NA,NA
