"category","wordFeatures","Index","Model","N","Mean","SD","SE"
"function_words","Hand_arm","KL divergence (log)","Gpt-4o",1,3.07176451135672,NA,NA
"function_words","Hand_arm","KL divergence (log)","Llama-3.1-70B",1,3.07836259837374,NA,NA
"function_words","Head","Correlation coefficient","Gpt-4o",1,0.340206908719886,NA,NA
"function_words","Head","Correlation coefficient","Llama-3.1-70B",1,0.0226804605813257,NA,NA
"function_words","Head","KL divergence (log)","Gpt-4o",1,3.43345011183298,NA,NA
"function_words","Head","KL divergence (log)","Llama-3.1-70B",1,3.43345011183298,NA,NA
"function_words","Mouth","Correlation coefficient","Gpt-4o",1,0.408248290463863,NA,NA
"function_words","Mouth","Correlation coefficient","Llama-3.1-70B",1,NA,NA,NA
"function_words","Mouth","KL divergence (log)","Gpt-4o",1,3.42418578885503,NA,NA
"function_words","Mouth","KL divergence (log)","Llama-3.1-70B",1,3.42418578885503,NA,NA
"function_words","Torso","Correlation coefficient","Gpt-4o",1,0.727392967453308,NA,NA
"function_words","Torso","Correlation coefficient","Llama-3.1-70B",1,0.333562192497496,NA,NA
"function_words","Torso","KL divergence (log)","Gpt-4o",1,3.41483483499496,NA,NA
"function_words","Torso","KL divergence (log)","Llama-3.1-70B",1,3.25518877700149,NA,NA
"nouns","concreteness","Correlation coefficient","Gpt-4o",1,0.311181242776448,NA,NA
"nouns","concreteness","Correlation coefficient","Llama-3.1-70B",1,0.204211870054249,NA,NA
"nouns","concreteness","KL divergence (log)","Gpt-4o",1,0.17652453350631,NA,NA
"nouns","concreteness","KL divergence (log)","Llama-3.1-70B",1,-0.831015313413431,NA,NA
"nouns","adultBOI","Correlation coefficient","Gpt-4o",1,0.676505532768794,NA,NA
"nouns","adultBOI","Correlation coefficient","Llama-3.1-70B",1,0.686483931694225,NA,NA
"nouns","adultBOI","KL divergence (log)","Gpt-4o",1,0.461799140297979,NA,NA
"nouns","adultBOI","KL divergence (log)","Llama-3.1-70B",1,2.7833675289661,NA,NA
"nouns","childBOI","Correlation coefficient","Gpt-4o",1,0.661966826701834,NA,NA
"nouns","childBOI","Correlation coefficient","Llama-3.1-70B",1,0.615675221004223,NA,NA
"nouns","childBOI","KL divergence (log)","Gpt-4o",1,0.52490074676575,NA,NA
"nouns","childBOI","KL divergence (log)","Llama-3.1-70B",1,1.46442555428996,NA,NA
"nouns","iconicity","Correlation coefficient","Gpt-4o",1,0.228162426728206,NA,NA
"nouns","iconicity","Correlation coefficient","Llama-3.1-70B",1,0.245915654792188,NA,NA
"nouns","iconicity","KL divergence (log)","Gpt-4o",1,3.25123718834811,NA,NA
"nouns","iconicity","KL divergence (log)","Llama-3.1-70B",1,2.80488892940266,NA,NA
"nouns","babiness","Correlation coefficient","Gpt-4o",1,0.623349395439217,NA,NA
"nouns","babiness","Correlation coefficient","Llama-3.1-70B",1,0.622521808120808,NA,NA
"nouns","babiness","KL divergence (log)","Gpt-4o",1,0.996821350844202,NA,NA
"nouns","babiness","KL divergence (log)","Llama-3.1-70B",1,2.00142860207873,NA,NA
"nouns","valence","Correlation coefficient","Gpt-4o",1,0.721905333465752,NA,NA
"nouns","valence","Correlation coefficient","Llama-3.1-70B",1,0.654350494638721,NA,NA
"nouns","valence","KL divergence (log)","Gpt-4o",1,1.05724663434987,NA,NA
"nouns","valence","KL divergence (log)","Llama-3.1-70B",1,0.500721542149608,NA,NA
"nouns","arousal","Correlation coefficient","Gpt-4o",1,0.0950509686802722,NA,NA
"nouns","arousal","Correlation coefficient","Llama-3.1-70B",1,0.392037503951646,NA,NA
"nouns","arousal","KL divergence (log)","Gpt-4o",1,2.3278708270827,NA,NA
"nouns","arousal","KL divergence (log)","Llama-3.1-70B",1,3.0207255922438,NA,NA
"nouns","dominance","Correlation coefficient","Gpt-4o",1,0.181917832430185,NA,NA
"nouns","dominance","Correlation coefficient","Llama-3.1-70B",1,0.221723090622606,NA,NA
"nouns","dominance","KL divergence (log)","Gpt-4o",1,2.29602546393252,NA,NA
"nouns","dominance","KL divergence (log)","Llama-3.1-70B",1,1.63285329278034,NA,NA
"nouns","Auditory","Correlation coefficient","Gpt-4o",1,0.692688357496249,NA,NA
"nouns","Auditory","Correlation coefficient","Llama-3.1-70B",1,0.701570139776805,NA,NA
"nouns","Auditory","KL divergence (log)","Gpt-4o",1,2.7734937705566,NA,NA
"nouns","Auditory","KL divergence (log)","Llama-3.1-70B",1,1.38129579784516,NA,NA
"nouns","Gustatory","Correlation coefficient","Gpt-4o",1,0.69192205169092,NA,NA
"nouns","Gustatory","Correlation coefficient","Llama-3.1-70B",1,0.681373728045853,NA,NA
"nouns","Gustatory","KL divergence (log)","Gpt-4o",1,1.73938676061093,NA,NA
"nouns","Gustatory","KL divergence (log)","Llama-3.1-70B",1,2.08633941197914,NA,NA
"nouns","Haptic","Correlation coefficient","Gpt-4o",1,0.637295752229342,NA,NA
"nouns","Haptic","Correlation coefficient","Llama-3.1-70B",1,0.603732438295202,NA,NA
"nouns","Haptic","KL divergence (log)","Gpt-4o",1,2.20801768146547,NA,NA
"nouns","Haptic","KL divergence (log)","Llama-3.1-70B",1,0.172486792297871,NA,NA
"nouns","Interoceptive","Correlation coefficient","Gpt-4o",1,0.569839338857763,NA,NA
"nouns","Interoceptive","Correlation coefficient","Llama-3.1-70B",1,0.573861252634283,NA,NA
"nouns","Interoceptive","KL divergence (log)","Gpt-4o",1,3.27613003445919,NA,NA
"nouns","Interoceptive","KL divergence (log)","Llama-3.1-70B",1,1.80889157861324,NA,NA
"nouns","Olfactory","Correlation coefficient","Gpt-4o",1,0.779179657464228,NA,NA
"nouns","Olfactory","Correlation coefficient","Llama-3.1-70B",1,0.744790145918998,NA,NA
"nouns","Olfactory","KL divergence (log)","Gpt-4o",1,1.24715743095861,NA,NA
"nouns","Olfactory","KL divergence (log)","Llama-3.1-70B",1,0.854834789777367,NA,NA
"nouns","Visual","Correlation coefficient","Gpt-4o",1,0.323011139229109,NA,NA
"nouns","Visual","Correlation coefficient","Llama-3.1-70B",1,0.39190008588649,NA,NA
"nouns","Visual","KL divergence (log)","Gpt-4o",1,-0.0612486963765749,NA,NA
"nouns","Visual","KL divergence (log)","Llama-3.1-70B",1,0.365335598848884,NA,NA
"nouns","Foot_leg","Correlation coefficient","Gpt-4o",1,0.595591258197614,NA,NA
"nouns","Foot_leg","Correlation coefficient","Llama-3.1-70B",1,0.505949093765468,NA,NA
"nouns","Foot_leg","KL divergence (log)","Gpt-4o",1,1.01444179802284,NA,NA
