"category","wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"function_words","childBOI",20,"KL divergence (log)","Llama-3.1-70B",5,3.10283280302825,0.219120294650448,0.0979935748176372
"function_words","childBOI",30,"Correlation coefficient","Gpt-4o",5,0.655750844573396,0.263555416055579,0.117865565227703
"function_words","childBOI",30,"Correlation coefficient","Llama-3.1-70B",5,0.734870465431724,0.309948156804187,0.138613029622985
"function_words","childBOI",30,"KL divergence (log)","Gpt-4o",5,3.34461483539128,0.124241759888255,0.055562604150869
"function_words","childBOI",30,"KL divergence (log)","Llama-3.1-70B",5,3.29672312820265,0.128843741845762,0.0576206730485116
"function_words","childBOI",40,"Correlation coefficient","Gpt-4o",5,0.894128119533455,0.114754661449804,0.0513198447473474
"function_words","childBOI",40,"Correlation coefficient","Llama-3.1-70B",5,0.736873253306146,0.34233508925335,0.15309690613079
"function_words","childBOI",40,"KL divergence (log)","Gpt-4o",5,3.34816117393877,0.130804169223453,0.0584974028248055
"function_words","childBOI",40,"KL divergence (log)","Llama-3.1-70B",5,3.44096091890724,0.0057525122964739,0.00257260170726381
"function_words","childBOI",50,"Correlation coefficient","Gpt-4o",5,0.589736659610103,0.768285975656134,0.343587933545373
"function_words","childBOI",50,"Correlation coefficient","Llama-3.1-70B",5,0.897309617084627,0.121059592641025,0.054139495694753
"function_words","childBOI",50,"KL divergence (log)","Gpt-4o",5,3.26627972513755,0.159589997978898,0.0713708168019739
"function_words","childBOI",50,"KL divergence (log)","Llama-3.1-70B",5,3.23949404166984,0.311870511411208,0.139472732738617
"function_words","iconicity",10,"Correlation coefficient","Gpt-4o",5,0.0423320484258993,0.507080152506899,0.226773138209277
"function_words","iconicity",10,"Correlation coefficient","Llama-3.1-70B",5,0.339232897128594,0.191072629327562,0.0854502775632097
"function_words","iconicity",10,"KL divergence (log)","Gpt-4o",5,3.24320924831196,0.124468165639644,0.0556638558809896
"function_words","iconicity",10,"KL divergence (log)","Llama-3.1-70B",5,3.17060584626216,0.102129009715447,0.0456734816396951
"function_words","iconicity",20,"Correlation coefficient","Gpt-4o",5,0.460706799064072,0.364912705876614,0.163193923238699
"function_words","iconicity",20,"Correlation coefficient","Llama-3.1-70B",5,0.257353437955567,0.283373541052975,0.126728500163856
"function_words","iconicity",20,"KL divergence (log)","Gpt-4o",5,3.05676474745704,0.353410238930872,0.158049863638775
"function_words","iconicity",20,"KL divergence (log)","Llama-3.1-70B",5,3.04598112559945,0.104827443955047,0.0468802581182068
"function_words","iconicity",30,"Correlation coefficient","Gpt-4o",5,0.211889492057136,0.550684622941944,0.246273650212405
"function_words","iconicity",30,"Correlation coefficient","Llama-3.1-70B",5,0.186680160210971,0.538865594535996,0.240988020023665
"function_words","iconicity",30,"KL divergence (log)","Gpt-4o",5,3.0740088125578,0.163619670368976,0.0731729410802278
"function_words","iconicity",30,"KL divergence (log)","Llama-3.1-70B",5,3.14183471305459,0.136537138711073,0.0610612647222553
"function_words","iconicity",40,"Correlation coefficient","Gpt-4o",5,0.278214103482059,0.513855374095218,0.229803109416098
"function_words","iconicity",40,"Correlation coefficient","Llama-3.1-70B",5,0.0909323416224486,0.450641630621142,0.201533063912045
"function_words","iconicity",40,"KL divergence (log)","Gpt-4o",5,3.33761985926519,0.127591180687343,0.0570605106692715
"function_words","iconicity",40,"KL divergence (log)","Llama-3.1-70B",5,3.18920016287687,0.185314136256728,0.0828750011723405
"function_words","iconicity",50,"Correlation coefficient","Gpt-4o",5,0.471147099865135,0.480477727053164,0.214876171873093
"function_words","iconicity",50,"Correlation coefficient","Llama-3.1-70B",5,0.327279662946048,0.753509584838885,0.336979730679478
"function_words","iconicity",50,"KL divergence (log)","Gpt-4o",5,3.26286617901177,0.162760325281195,0.0727886302737461
"function_words","iconicity",50,"KL divergence (log)","Llama-3.1-70B",5,3.12442121268912,0.253202554705903,0.113235624879801
"function_words","babiness",10,"Correlation coefficient","Gpt-4o",5,0.723110350181332,0.160720570027761,0.0718764239929177
"function_words","babiness",10,"Correlation coefficient","Llama-3.1-70B",5,0.525311462892536,0.123122808491763,0.0550621938736542
"function_words","babiness",10,"KL divergence (log)","Gpt-4o",5,2.79626998740206,0.29559286327504,0.132193147189358
"function_words","babiness",10,"KL divergence (log)","Llama-3.1-70B",5,2.96938916452793,0.11664833560067,0.0521667215730612
"function_words","babiness",20,"Correlation coefficient","Gpt-4o",5,0.800162832033785,0.0892189277861211,0.0398999174818823
"function_words","babiness",20,"Correlation coefficient","Llama-3.1-70B",5,0.118267795189261,0.303110929840462,0.135555328769288
"function_words","babiness",20,"KL divergence (log)","Gpt-4o",5,2.8328040707495,0.16838983031833,0.075306221462288
"function_words","babiness",20,"KL divergence (log)","Llama-3.1-70B",5,2.98267800527696,0.251315769903342,0.112391829064313
"function_words","babiness",30,"Correlation coefficient","Gpt-4o",5,0.894647806464414,0.0462407497007101,0.0206794919322682
"function_words","babiness",30,"Correlation coefficient","Llama-3.1-70B",5,0.748164806972019,0.113189120548985,0.0506197135721896
"function_words","babiness",30,"KL divergence (log)","Gpt-4o",5,2.78133709006776,0.390793116713419,0.174767994822043
"function_words","babiness",30,"KL divergence (log)","Llama-3.1-70B",5,2.49568326780174,0.482930954693598,0.215973288626751
"function_words","babiness",40,"Correlation coefficient","Gpt-4o",5,0.824005322435023,0.264611102844236,0.11833768271218
"function_words","babiness",40,"Correlation coefficient","Llama-3.1-70B",5,0.642228525188087,0.262323811637645,0.117314774987725
"function_words","babiness",40,"KL divergence (log)","Gpt-4o",5,2.53354581139715,0.418317995734683,0.187077494934844
